idx,image_key,question,question_type,split,reference_image,logit_Ref,logit_Know,logit_Reason,logit_Decide,p_Ref,p_Know,p_Reason,p_Decide,margin_Ref,margin_Know,margin_Reason,margin_Decide,y_Ref,y_Know,y_Reason,y_Decide,vector,active_experts,prior_vector,match_prior
0,DS-MVTec/bottle/image/broken_large/000.png,Is there any defect in the object?,Anomaly Detection,train,125.png,15.829642,-7.563514,-15.481358,3.224604,1.000000,0.000519,0.000000,0.961750,+0.825000,-0.174481,-0.175000,+0.786750,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
1,DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,13.010135,5.742065,-5.891006,3.864633,0.999998,0.996802,0.002757,0.979460,+0.824998,+0.821802,-0.172243,+0.804460,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
2,DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,13.748469,-5.800327,-13.012697,2.885969,0.999999,0.003017,0.000002,0.947149,+0.824999,-0.171983,-0.174998,+0.772148,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
3,DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,5.104302,17.094374,5.651612,3.725711,0.993966,1.000000,0.996500,0.976471,+0.818966,+0.825000,+0.821500,+0.801471,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
4,DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the effect of the defect?,Defect Analysis,train,125.png,-4.061515,18.592255,10.982799,2.838311,0.016931,1.000000,0.999983,0.944711,-0.158069,+0.825000,+0.824983,+0.769711,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
5,DS-MVTec/bottle/image/broken_large/001.png,Is there any defect in the object?,Anomaly Detection,train,125.png,14.947102,-7.502209,-14.997724,3.116478,1.000000,0.000552,0.000000,0.957567,+0.825000,-0.174448,-0.175000,+0.782567,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
6,DS-MVTec/bottle/image/broken_large/001.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,12.171530,5.324096,-5.679530,3.716821,0.999995,0.995151,0.003404,0.976266,+0.824995,+0.820151,-0.171596,+0.801266,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
7,DS-MVTec/bottle/image/broken_large/001.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,4.287865,16.644236,5.827681,3.579626,0.986452,1.000000,0.997064,0.972870,+0.811452,+0.825000,+0.822064,+0.797870,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
8,DS-MVTec/bottle/image/broken_large/002.png,Is there any defect in the object?,Anomaly Detection,train,125.png,16.378927,-7.696781,-15.882385,3.309337,1.000000,0.000454,0.000000,0.964748,+0.825000,-0.174546,-0.175000,+0.789748,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
9,DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. What is the type of the defect?,Defect Classification,eval,125.png,13.583185,5.654210,-6.284327,3.954492,0.999999,0.996509,0.001862,0.981192,+0.824999,+0.821509,-0.173138,+0.806192,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
10,DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,14.300355,-5.858487,-13.375448,2.977895,0.999999,0.002847,0.000002,0.951565,+0.824999,-0.172153,-0.174998,+0.776565,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
11,DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,eval,125.png,5.671834,17.015297,5.268007,3.815113,0.996570,1.000000,0.994873,0.978440,+0.821570,+0.825000,+0.819872,+0.803440,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
12,DS-MVTec/bottle/image/broken_large/003.png,Is there any defect in the object?,Anomaly Detection,train,015.png,14.556845,-7.400958,-14.713790,3.058071,1.000000,0.000610,0.000000,0.955130,+0.825000,-0.174390,-0.175000,+0.780130,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
13,DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. What is the type of the defect?,Defect Classification,eval,015.png,11.581190,5.707617,-5.144522,3.683518,0.999991,0.996690,0.005797,0.975482,+0.824991,+0.821690,-0.169203,+0.800482,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
14,DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,015.png,3.713603,17.003328,6.331181,3.548839,0.976191,1.000000,0.998223,0.972046,+0.801191,+0.825000,+0.823223,+0.797046,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
15,DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. How does the defect affect the object?,Defect Analysis,train,015.png,-4.007334,13.736393,8.388910,2.284820,0.017857,0.999999,0.999773,0.907612,-0.157143,+0.824999,+0.824773,+0.732612,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
16,DS-MVTec/bottle/image/broken_large/004.png,Is there any defect in the object?,Anomaly Detection,train,073.png,15.920345,-7.574573,-15.536489,3.236469,1.000000,0.000513,0.000000,0.962184,+0.825000,-0.174487,-0.175000,+0.787184,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
