idx,image_key,question_type,question,vector,p_Ref,p_Know,p_Reason,p_Decide,y_Ref,y_Know,y_Reason,y_Decide,active_experts,n_images
0,DS-MVTec/bottle/image/broken_large/000.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
1,DS-MVTec/bottle/image/broken_large/000.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
2,DS-MVTec/bottle/image/broken_large/000.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
3,DS-MVTec/bottle/image/broken_large/000.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
4,DS-MVTec/bottle/image/broken_large/000.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
5,DS-MVTec/bottle/image/broken_large/001.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
6,DS-MVTec/bottle/image/broken_large/001.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
7,DS-MVTec/bottle/image/broken_large/001.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
8,DS-MVTec/bottle/image/broken_large/002.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
9,DS-MVTec/bottle/image/broken_large/002.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
10,DS-MVTec/bottle/image/broken_large/002.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
11,DS-MVTec/bottle/image/broken_large/002.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
12,DS-MVTec/bottle/image/broken_large/003.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
13,DS-MVTec/bottle/image/broken_large/003.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
14,DS-MVTec/bottle/image/broken_large/003.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
15,DS-MVTec/bottle/image/broken_large/003.png,Defect Analysis,There is a defect in the object. How does the defect affect the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
16,DS-MVTec/bottle/image/broken_large/004.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
17,DS-MVTec/bottle/image/broken_large/004.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
18,DS-MVTec/bottle/image/broken_large/004.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
19,DS-MVTec/bottle/image/broken_large/004.png,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle's mouth?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
20,DS-MVTec/bottle/image/broken_large/005.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
21,DS-MVTec/bottle/image/broken_large/005.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
22,DS-MVTec/bottle/image/broken_large/005.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
23,DS-MVTec/bottle/image/broken_large/005.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
24,DS-MVTec/bottle/image/broken_large/005.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
25,DS-MVTec/bottle/image/broken_large/006.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
26,DS-MVTec/bottle/image/broken_large/006.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
27,DS-MVTec/bottle/image/broken_large/006.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
28,DS-MVTec/bottle/image/broken_large/006.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
29,DS-MVTec/bottle/image/broken_large/007.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
30,DS-MVTec/bottle/image/broken_large/007.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
31,DS-MVTec/bottle/image/broken_large/007.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
32,DS-MVTec/bottle/image/broken_large/007.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
33,DS-MVTec/bottle/image/broken_large/007.png,Defect Analysis,There is a defect in the object. How does the defect manifest on the bottle?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
34,DS-MVTec/bottle/image/broken_large/008.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
35,DS-MVTec/bottle/image/broken_large/008.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
36,DS-MVTec/bottle/image/broken_large/008.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
37,DS-MVTec/bottle/image/broken_large/008.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
38,DS-MVTec/bottle/image/broken_large/008.png,Defect Analysis,There is a defect in the object. What distinguishes the damaged area from the rest of the bottle's edge?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
39,DS-MVTec/bottle/image/broken_large/009.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
40,DS-MVTec/bottle/image/broken_large/009.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
41,DS-MVTec/bottle/image/broken_large/009.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
42,DS-MVTec/bottle/image/broken_large/009.png,Defect Analysis,There is a defect in the object. How does the defect compare to the normal sample?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
43,DS-MVTec/bottle/image/broken_large/010.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
44,DS-MVTec/bottle/image/broken_large/010.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
45,DS-MVTec/bottle/image/broken_large/010.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
46,DS-MVTec/bottle/image/broken_large/010.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
47,DS-MVTec/bottle/image/broken_large/010.png,Defect Analysis,There is a defect in the object. What can be inferred about the defect's effect on the bottle?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
48,DS-MVTec/bottle/image/broken_large/011.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
49,DS-MVTec/bottle/image/broken_large/011.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
50,DS-MVTec/bottle/image/broken_large/011.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
51,DS-MVTec/bottle/image/broken_large/011.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
52,DS-MVTec/bottle/image/broken_large/011.png,Defect Analysis,There is a defect in the object. What is the likely cause of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
53,DS-MVTec/bottle/image/broken_large/012.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
54,DS-MVTec/bottle/image/broken_large/012.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
55,DS-MVTec/bottle/image/broken_large/012.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
56,DS-MVTec/bottle/image/broken_large/012.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
57,DS-MVTec/bottle/image/broken_large/012.png,Defect Analysis,There is a defect in the object. How does the defect affect the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
58,DS-MVTec/bottle/image/broken_large/013.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
59,DS-MVTec/bottle/image/broken_large/013.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
60,DS-MVTec/bottle/image/broken_large/013.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
61,DS-MVTec/bottle/image/broken_large/013.png,Defect Analysis,There is a defect in the object. What impact does the defect have on the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
62,DS-MVTec/bottle/image/broken_large/014.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
63,DS-MVTec/bottle/image/broken_large/014.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
64,DS-MVTec/bottle/image/broken_large/014.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
65,DS-MVTec/bottle/image/broken_large/014.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
66,DS-MVTec/bottle/image/broken_large/015.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
67,DS-MVTec/bottle/image/broken_large/015.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
68,DS-MVTec/bottle/image/broken_large/015.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
69,DS-MVTec/bottle/image/broken_large/015.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
70,DS-MVTec/bottle/image/broken_large/015.png,Defect Analysis,There is a defect in the object. How does the defect affect the bottle's appearance?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
71,DS-MVTec/bottle/image/broken_large/016.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
72,DS-MVTec/bottle/image/broken_large/016.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
73,DS-MVTec/bottle/image/broken_large/016.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
74,DS-MVTec/bottle/image/broken_large/016.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
75,DS-MVTec/bottle/image/broken_large/017.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
76,DS-MVTec/bottle/image/broken_large/017.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
77,DS-MVTec/bottle/image/broken_large/017.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
78,DS-MVTec/bottle/image/broken_large/018.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
79,DS-MVTec/bottle/image/broken_large/018.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
80,DS-MVTec/bottle/image/broken_large/018.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
81,DS-MVTec/bottle/image/broken_large/018.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
82,DS-MVTec/bottle/image/broken_large/019.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
83,DS-MVTec/bottle/image/broken_large/019.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
84,DS-MVTec/bottle/image/broken_large/019.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
85,DS-MVTec/bottle/image/broken_large/019.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
86,DS-MVTec/bottle/image/broken_large/019.png,Defect Analysis,There is a defect in the object. How does the defect affect the bottle?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
87,DS-MVTec/bottle/image/broken_small/000.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
88,DS-MVTec/bottle/image/broken_small/000.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
89,DS-MVTec/bottle/image/broken_small/000.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
90,DS-MVTec/bottle/image/broken_small/000.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
91,DS-MVTec/bottle/image/broken_small/000.png,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
92,DS-MVTec/bottle/image/broken_small/001.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
93,DS-MVTec/bottle/image/broken_small/001.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
94,DS-MVTec/bottle/image/broken_small/001.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
95,DS-MVTec/bottle/image/broken_small/001.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
96,DS-MVTec/bottle/image/broken_small/001.png,Defect Analysis,There is a defect in the object. How does the defect affect the appearance of the bottle?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
97,DS-MVTec/bottle/image/broken_small/002.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
98,DS-MVTec/bottle/image/broken_small/002.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
99,DS-MVTec/bottle/image/broken_small/002.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
100,DS-MVTec/bottle/image/broken_small/002.png,Defect Analysis,There is a defect in the object. What is the potential effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
101,DS-MVTec/bottle/image/broken_small/003.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
102,DS-MVTec/bottle/image/broken_small/003.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
103,DS-MVTec/bottle/image/broken_small/003.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
104,DS-MVTec/bottle/image/broken_small/003.png,Defect Analysis,There is a defect in the object. How does the defect affect the bottle's appearance?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
105,DS-MVTec/bottle/image/broken_small/004.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
106,DS-MVTec/bottle/image/broken_small/004.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
107,DS-MVTec/bottle/image/broken_small/004.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
