Image Path,Question Type,Question,Predicted,Correct,Active Experts,Routing Agree,Realized
DS-MVTec/bottle/image/broken_large/000.png,Anomaly Detection,Is there any defect in the object?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/000.png,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,(baseline),,
DS-MVTec/bottle/image/broken_large/000.png,Defect Localization,There is a defect in the object. Where is the defect?,D,D,(baseline),,
DS-MVTec/bottle/image/broken_large/000.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/000.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/001.png,Anomaly Detection,Is there any defect in the object?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/001.png,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,(baseline),,
DS-MVTec/bottle/image/broken_large/001.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,(baseline),,
DS-MVTec/bottle/image/broken_large/002.png,Anomaly Detection,Is there any defect in the object?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/002.png,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/002.png,Defect Localization,There is a defect in the object. Where is the defect?,D,D,(baseline),,
DS-MVTec/bottle/image/broken_large/002.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/003.png,Anomaly Detection,Is there any defect in the object?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/003.png,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/003.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/003.png,Defect Analysis,There is a defect in the object. How does the defect affect the object?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/004.png,Anomaly Detection,Is there any defect in the object?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/004.png,Defect Localization,There is a defect in the object. Where is the defect?,B,B,(baseline),,
DS-MVTec/bottle/image/broken_large/004.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,(baseline),,
DS-MVTec/bottle/image/broken_large/004.png,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle's mouth?,A,A,(baseline),,
