Image Path,Question,Predicted Answer,Correct Answer
DS-MVTec/bottle/image/broken_large/000.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the type of the defect?,C,C
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. Where is the defect?,A,D
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the appearance of the defect?,A,A
DS-MVTec/bottle/image/broken_large/000.png,There is a defect in the object. What is the effect of the defect?,B,B
DS-MVTec/bottle/image/broken_large/001.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/001.png,There is a defect in the object. What is the type of the defect?,D,D
DS-MVTec/bottle/image/broken_large/001.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/002.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. What is the type of the defect?,B,B
DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. Where is the defect?,D,D
DS-MVTec/bottle/image/broken_large/002.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/003.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. What is the type of the defect?,B,B
DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/003.png,There is a defect in the object. How does the defect affect the object?,A,A
DS-MVTec/bottle/image/broken_large/004.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. Where is the defect?,B,B
DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. What is the appearance of the defect?,A,A
DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. What is the effect of the defect on the bottle's mouth?,A,A
DS-MVTec/bottle/image/broken_large/005.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the type of the defect?,B,B
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. Where is the defect?,B,B
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the effect of the defect?,C,C
DS-MVTec/bottle/image/broken_large/006.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the type of the defect?,D,D
DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the effect of the defect?,D,D
DS-MVTec/bottle/image/broken_large/007.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. What is the type of the defect?,C,C
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. Where is the defect?,B,B
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. What is the appearance of the defect?,A,A
DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. How does the defect manifest on the bottle?,B,B
DS-MVTec/bottle/image/broken_large/008.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What is the type of the defect?,A,A
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. Where is the defect?,C,A
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What distinguishes the damaged area from the rest of the bottle's edge?,A,A
DS-MVTec/bottle/image/broken_large/009.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. What is the type of the defect?,D,D
DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. How does the defect compare to the normal sample?,D,D
DS-MVTec/bottle/image/broken_large/010.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What is the type of the defect?,B,B
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. Where is the defect?,C,C
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What is the appearance of the defect?,D,D
DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What can be inferred about the defect's effect on the bottle?,B,B
DS-MVTec/bottle/image/broken_large/011.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the type of the defect?,A,D
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. Where is the defect?,A,B
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the likely cause of the defect?,B,B
DS-MVTec/bottle/image/broken_large/012.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. What is the type of the defect?,B,B
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. Where is the defect?,C,C
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. How does the defect affect the object?,C,C
DS-MVTec/bottle/image/broken_large/013.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What is the type of the defect?,A,A
DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What impact does the defect have on the object?,C,C
DS-MVTec/bottle/image/broken_large/014.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. What is the type of the defect?,A,A
DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. Where is the defect?,A,A
DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/015.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. What is the type of the defect?,A,A
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. Where is the defect?,D,D
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. What is the appearance of the defect?,A,A
DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. How does the defect affect the bottle's appearance?,A,A
DS-MVTec/bottle/image/broken_large/016.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. What is the type of the defect?,D,D
DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. Where is the defect?,A,B
DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/017.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/017.png,There is a defect in the object. What is the type of the defect?,D,D
DS-MVTec/bottle/image/broken_large/017.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/018.png,Is there any defect in the object?,B,B
DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the type of the defect?,C,C
DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the appearance of the defect?,C,C
DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the effect of the defect?,A,A
DS-MVTec/bottle/image/broken_large/019.png,Is there any defect in the object?,A,A
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. What is the type of the defect?,D,D
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. Where is the defect?,A,A
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. What is the appearance of the defect?,B,B
DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. How does the defect affect the bottle?,C,C
DS-MVTec/bottle/image/broken_small/000.png,Is there any defect in the object?,B,B
